Gene,Sample_01,Sample_09,Sample_17,Sample_25,Sample_33,Sample_41,Sample_02,Sample_10,Sample_18,Sample_26,Sample_34,Sample_42,Sample_05,Sample_13,Sample_21,Sample_29,Sample_37,Sample_45,Sample_06,Sample_14,Sample_22,Sample_30,Sample_38,Sample_46
Rpl7-ps9,3,3,3.03,5.8,2.01,3,7.56,8.01,3.38,6.07,4.12,7.31,8.74,5.48,5.96,7.42,2,7,6.54,4.02,0.82,8.45,2,5.03
Rpl7a-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl7a-ps12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rpl7a-ps8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Rplp1-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpp38,114,125,149,208,131,152,148,82,216,113,135,119,238,105,228,177,114,109,187,217,171,172,147,184
Rprl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps12,23199.25,28396.83,22912.95,33765.21,9425.31,18924.01,38564.42,25209.66,25430.91,24351.25,12846.9,14663.08,30119.13,32737.96,16773.12,24325.84,12975.81,13954.73,20142.38,27892.96,21854.86,33066.49,15195.06,17779.35
Rps12-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,0,0,0,1,1,0,1
Rps12-ps14,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0.17,0,0,0,0
Rps12-ps7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps13,10753.41,12013.19,10648.26,13748.38,5068.02,8111.4,15848.03,11083.25,10659.99,9111.15,6228.38,6267.52,13655.18,15907.39,8307.15,10046.5,6869.78,6461.03,10082.89,13146.76,9988.39,13689.3,7423.74,7959.86
Rps13-ps1,63.16,67.85,56.79,41.54,40.6,30.59,83.9,40.71,37.1,60.83,34.96,53.78,79.58,105.85,45.16,47.59,18.29,26.55,34.73,74.59,41.25,64.56,37.19,48.53
